name;address;town;insee_code;postal_code;postal_code;type;longitude;latitude
"Aire de covoiturage La Ville Es Lan";"échangeur de la Ville Es Lan RN12-RD768";LAMBALLE;22093;;22400;"Aire de covoiturage";-2.54833357
"Aire de covoiturage de Le Poulvern";"La Gare. 56690 Landaul";LANDAUL;56096;56690;56690;"Aire de covoiturage";-3.090235
"Parking Passille";"Rue Michel et Jean Passille";LANDEAN;35142;01400;35133;Parking;-1.153623
"Aire de covoiturage Jean Monnet";"ZA de Prat Pip. 175 rue Jean Monnet. 29800 Saint-Divy";LANDERNEAU;29103;29800;29800;"Aire de covoiturage";-4.269187605
"Aire de covoiturage de Mané Craping";"Prad er Houerh. 56690 LanDévant";LANDEVANT;56097;56690;56690;"Aire de covoiturage";-3.139936
"Aire de covoiturage Les Quatre Chemins";"Les Quatre Chemins. 29560 LanDévennec";LANDEVENNEC;29104;29560;29560;"Aire de covoiturage";-4.333813993
"Aire de covoiturage Kerivoal";"Zone de Kerioual. D69. 29400 Landivisiau";LANDIVISIAU;29105;29400;29400;"Aire de covoiturage";-4.051675766
"Aire de covoiturage de Géant";"118 Rue Andrei Sakharov. 56600 Lanester";LANESTER;56098;56600;56600;"Aire de covoiturage";-3.343389
"La Guiguenière";"Entree Sud accès par D27";LANGOUET;35146;;35630;"Aire de covoiturage";-1.82256251638921
"Parking La Guigueniére";"La Guigueniére";LANGOUET;35146;01400;35630;Parking;-1.822396848
"Aire de covoiturage Le Boutil";"Giratoire du Boutil RD 767 - RD 786";LANNION;22113;;22300;"Aire de covoiturage";-3.430629822
"Aire de covoiturage Pont Lé";"Giratoire RD 6 - RD 9";LANVOLLON;22121;;22290;"Aire de covoiturage";-2.976688639
"Les Landes de Canut";"Les Landes de Canut";LASSY;35149;;35580;"Aire de covoiturage";-1.86796315620161
"Aire de covoiturage Quiella";"Route de Rumengol. 29590 Le Faou";"LE FAOU";29053;29590;29590;"Aire de covoiturage";-4.167873871
"Place de La Mairie";"Rue de Bretagne";"LE FERRE";35111;01400;35420;Parking;-1.293845397
"Complexe Sportif Auguste Et Aimé Le Got";"8 Route de Brest. 29260 Le Folgoét";"LE FOLGOET";29055;29260;29260;Parking;-4.33850186
"Poteau de Kergentil";"Le Poteau de Kergentil. 56190 Le Guerno";"LE GUERNO";56077;56190;56190;"Aire de covoiturage";-2.404357
"Aire de covoiturage de Le Hezo";"2 Rue er Vreneguy. 56450 Le Hézo";"LE HEZO";56084;56450;56450;"Aire de covoiturage";-2.694201
"La Chonette";"Rue des Mares";"LE QUIOU";22263;;22630;"Aire de covoiturage";-2.00724548541814
"Aire de covoiturage Kergleuz";"4 Rue Robert Schuman. 29480 Le Relecq-Kerhuon";"LE RELECQ-KERHUON";29235;29480;29480;"Aire de covoiturage";-4.407923978
"Pont d'avoine";"16 rue nationale";"LE RHEU";35240;;35650;"Aire de covoiturage";-1.76556013063563
"Parking La Sablonniére";"Rue de la Sablonniére";"LE THEIL-DE-BRETAGNE";35333;01400;35240;Parking;-1.396523667
"Bourg neuf";"Bourg neuf";"LE THEIL-DE-BRETAGNE";35333;;35240;"Aire de covoiturage";-1.41908166743692
"La Sablonnière";"Proche de la D41 Rennes-Angers mais pas située directement sur l'échangeur. Sur la D47 entre le bourg de Retiers et l'échangeur.";"LE THEIL-DE-BRETAGNE";35333;;35240;"Aire de covoiturage";-1.39652366715846
"Place de L'Eglise";"9 Lotissement Communal le Fougeri. 56370 Le Tour-du-Parc";"LE TOUR-DU-PARC";56252;56370;56370;Parking;-2.650718
Villeneuve;"VC face à la Zone de la Pilais";LÉCOUSSE;35150;;35133;"Aire de covoiturage";-1.23311744375032
"Aire de covoiturage Ty Blaise";"103 Ty Blaise. 29190 Lennon";LENNON;29123;29190;29190;"Aire de covoiturage";-3.902552406
"Aire de covoiturage L'Escargot";"RD 792 proche RN 176";"LES MOULINS";22183;;22210;"Aire de covoiturage";-2.59100542
"La croix de la mission";"La croix de la mission";LIFFRÉ;35152;;35340;"Aire de covoiturage";-1.49582366618066
"La Reposée";"Rue de Rennes";LIFFRÉ;35152;;35340;"Aire de covoiturage";-1.52641333319941
