name,address,gps_lat,gps_lng,town_name,type
"Complexe Sportif Auguste Et Aimé Le Got","8 Route de Brest. 29260 Le Folgoét",48.55992862,-4.33850186,"Le Folgoet",Parking
"Poteau de Kergentil","Le Poteau de Kergentil. 56190 Le Guerno",47.572911,-2.404357,"Le Guerno","Aire de covoiturage"
"Aire de covoiturage de Le Hezo","2 Rue er Vreneguy. 56450 Le Hézo",47.581918,-2.694201,"Le Hezo","Aire de covoiturage"
"La Chonette","Rue des Mares",48.3568876092191,-2.00724548541814,"Le Quiou","Aire de covoiturage"
"Aire de covoiturage Kergleuz","4 Rue Robert Schuman. 29480 Le Relecq-Kerhuon",48.39871002,-4.407923978,"Le Relecq-Kerhuon","Aire de covoiturage"
"Pont d'avoine","16 rue nationale",48.0959200374835,-1.76556013063563,"Le Rheu","Aire de covoiturage"
"Parking La Sablonniére","Rue de la Sablonniére",47.90948,-1.396523667,"Le Theil-De-Bretagne",Parking
"Bourg neuf","Bourg neuf",47.9196450810922,-1.41908166743692,"Le Theil-De-Bretagne","Aire de covoiturage"
"La Sablonnière","Proche de la D41 Rennes-Angers mais pas située directement sur l'échangeur. Sur la D47 entre le bourg de Retiers et l'échangeur.",47.9094800829679,-1.39652366715846,"Le Theil-De-Bretagne","Aire de covoiturage"
"Place de L'Eglise","9 Lotissement Communal le Fougeri. 56370 Le Tour-du-Parc",47.523953,-2.650718,"Le Tour-Du-Parc",Parking
Villeneuve,"VC face à la Zone de la Pilais",48.3512940494858,-1.23311744375032,Lécousse,"Aire de covoiturage"
"Aire de covoiturage Ty Blaise","103 Ty Blaise. 29190 Lennon",48.20781075,-3.902552406,Lennon,"Aire de covoiturage"
"Aire de covoiturage L'Escargot","RD 792 proche RN 176",48.18776095,-2.59100542,"Les Moulins","Aire de covoiturage"
"La croix de la mission","La croix de la mission",48.2198381691332,-1.49582366618066,Liffré,"Aire de covoiturage"
"La Reposée","Rue de Rennes",48.2022667465807,-1.52641333319941,Liffré,"Aire de covoiturage"
"La croix de la mission","La croix de la mission",48.2198381691332,-1.49582366618066,Liffré,"Aire de covoiturage"
"La Reposée","Rue de Rennes",48.2022667465807,-1.52641333319941,Liffré,"Aire de covoiturage"
"Aire de covoiturage de Sainte Catherine","213 Sainte-Catherine. 56460 Lizio",47.873391,-2.4944,Lizio,"Aire de covoiturage"
"Aire de covoiturage de Champ","33 Rue du Géneral De Gaulle. 56390 Grand-Champ",47.760145,-2.848733,Locmaria-Grand-Champ,"Aire de covoiturage"
"Aire de covoiturage de Collec","D767A. 56390 Locmaria-Grand-Champ",47.757942,-2.781111,Locmaria-Grand-Champ,"Aire de covoiturage"
"Parking Carrefour Market","20 Les Maisons du Verger. 56500 Locminé",47.878301,-2.828877,Locmine,Supermarché
"Echangeur de Lohéac","rue de chateaubriant pres du sade",47.8630869857101,-1.88101412766708,Lohéac,"Aire de covoiturage"
"Aire de covoiturage Kéranc'Hoat","24 Rue de la Gare. 29470 Loperhet",48.38286825,-4.307951837,Loperhet,"Aire de covoiturage"
"Aire de covoiturage Porhoet","RD 700 - RD 778",48.16846279,-2.735771957,Loudéac,"Aire de covoiturage"
"Aire de covoiturage La Fourchette",RD700-RN164-RD786,48.19725814,-2.753325074,Loudéac,"Aire de covoiturage"
"Place de Bretagne","Place de Bretagne",48.4813123,-1.125030626,Louvigné-Du-Désert,Parking
"Place de La Mairie","Place de la Mairie",48.4801177,-1.124522971,Louvigné-Du-Désert,Parking
"Place du 8 mai 45","Place du 8 mai 45",48.4800711301505,-1.12147015171582,Louvigné-Du-Désert,"Aire de covoiturage"
"Aire de covoiturage de Loyat","D766. 56800 Loyat",47.975316,-2.379918,Loyat,"Aire de covoiturage"
"Echangeur 30 - ZA Saint-Eustache","D3155 - La Bassetais",48.3997816853209,-1.31243028894358,"Maen Roch","Aire de covoiturage"
"Parking Super U","Parc d'Activités de la Chaussée. 56220 Malansac",47.670036,-2.300409,Malansac,Supermarché
"Echangeur Sud","Avenue du Général de Gaulle",47.8201144600246,-1.32166233409256,Martigné-Ferchaud,"Aire de covoiturage"
Saint-Morand,"Echangeur de Saint-Morand",47.7995094491553,-1.27719355160516,Martigné-Ferchaud,"Aire de covoiturage"
"Aire de covoiturage Le Stade",RD13,48.59213544,-2.296072962,Matignon,"Aire de covoiturage"
Bellevue,Bellevue,47.9085381690682,-1.9911113350743,Maure-De-Bretagne,"Aire de covoiturage"
"Aire de covoiturage de Voie Verte","La Grée Aga. 56430 Mauron",48.079882,-2.271058,Mauron,"Aire de covoiturage"
Maxent,,47.9823578974396,-2.03042301192006,Maxent,"Aire de covoiturage"
"Salle polyvalente","Rue de Montreuil",48.2196439130764,-1.69770433916455,Melesse,"Aire de covoiturage"
Cimetière,"Rue de Rennes",48.213218163956,-1.69747500054249,Melesse,"Aire de covoiturage"
"Aire de covoiturage Kerampaou (Kercorey)","Aire de covoiturage de Kerampaou. Burleo. 29140 Melgven",47.88913267,-3.800855592,Melgven,"Aire de covoiturage"
"Parking de la Rue Rouviel","6 Rue Rouviel",48.4884238023017,-1.18793889504592,Melle,"Aire de covoiturage"
"Parking de La Maison de Santé","17 Rue du Porhoét. 56490 Ménéac",48.137281,-2.463628,Meneac,Parking
"Aire de covoiturage Pen Ar Guéar","340 Rue Messire Jean Kerebel. 29290 Milizac",48.46307683,-4.562064728,Milizac,"Aire de covoiturage"
"La Costardais","Parking de la gare",48.5312607537301,-1.91460933166711,Miniac-Morvan,"Aire de covoiturage"
Intermarché,"3 Rue de Kerdiaoulig. 29350 Moélan-sur-Mer",47.81168887,-3.631399288,Moëlan-Sur-Mer,Supermarché
"Rue de Dinan","Rue de Dinan",48.2052820828051,-2.04743866675572,Montauban-De-Bretagne,"Aire de covoiturage"
"MONTREUIL DES LANDES",,48.2477201779127,-1.22416046819579,Montreuil-Des-Landes,"Aire de covoiturage"
"Les Vergers","Les Vergers",48.2095991129775,-1.62444947139616,Mouazé,"Aire de covoiturage"
"Parking de la Mairie","rue de la Metrie",48.0019845301957,-1.37190399623665,Moulins,"Aire de covoiturage"
