name;address;town;insee_code;postal_code;type;longitude;latitude
Place de l'Église;21 rue de Lesquen;LA BAZOUGE-DU-DÉSERT;35018;35420;Aire de covoiturage;-1.10586745516611;48.4433415962599
Centre maison neuve;Rue Saint-Martin;LA BOUËXIÈRE;35031;35340;Aire de covoiturage;-1.4394966671136;48.1851967525338
Centre maison neuve;Rue Saint-Martin;LA BOUËXIÈRE;35031;35340;Aire de covoiturage;-1.4394966671136;48.1851967525338
La Grenouillette;La Grenouillette;LA CHAPELLE ERBRÉE;35061;35500;Aire de covoiturage;-1.0916371179694;48.1355245063558
Siège CC Bretagne Romantique;Rue des Etangs;LA CHAPELLE-AUX-FILTZMEENS;35056;35190;Aire de covoiturage;-1.82882020296592;48.3828209506634
Parking salle de sport;Rue de Rennes;LA CHAPELLE-DES-FOUGERETZ;35059;35520;Aire de covoiturage;-1.72646737711183;48.1750609241553
La Fossardais;La Fossardais;LA DOMINELAIS;35098;35390;Aire de covoiturage;-1.69851723527387;47.7818412442339
Aire de covoiturage Croaz An Herry;D764. 29690 La Feuillée;LA FEUILLEE;29054;29690;Aire de covoiturage;-3.845220409;48.38169577
Rue des Frênes;Rue des Frênes;LA FRESNAIE;35116;35111;Aire de covoiturage;-1.8449654827428;48.5884280171626
Les Grands Champs;Les Grands Champs;LA GUERCHE-DE-BRETAGNE;35125;35130;Aire de covoiturage;-1.25017072657155;47.9456116631715
Aire de covoiturage Bel Air;échangeur de Bel Air RD 700-;LA MOTTE;22155;22600;Aire de covoiturage;-2.755123526;48.22553374
Aire de covoiturage de La Roche-Jaudy;Rue des Ajoncs;LA ROCHE-JAUDY;22264;22450;Aire de covoiturage;-3.250262;48.743626
Parking Rue du Pont Sec;Rue du pont sec (D17);LA-SELLE-EN-COGLÈS;35323;35460;Parking;-1.341634042;48.43729443
Aire de covoiturage de Porhoet;12 Rue du Point du Jour. 56490 La Trinité-Porhoét;LA TRINITE PORHOET;56257;56490;Aire de covoiturage;-2.535549;48.096889
Aire de covoiturage de Croix;32 Rue de la Gare. 56250 La truee-Croix;LA TRUEE-CROIX;56261;56250;Aire de covoiturage;-2.540475;47.69582
La Massonnais;Rond point D706 et D806;LAIGNELET;35138;35133;Aire de covoiturage;-1.17051590990296;48.3681294366625
La lande de villiers;Bout de lande;LAILLÉ;35139;35890;Aire de covoiturage;-1.69692557108055;47.97416793792
Rue de la halte/Landret;Rue de la Halte;LAILLÉ;35139;35890;Aire de covoiturage;-1.73242788473385;47.9800647551924
Aire de covoiturage La Ville Es Lan;échangeur de la Ville Es Lan RN12-RD768;LAMBALLE;22093;22400;Aire de covoiturage;-2.54833357;48.46780324
Aire de covoiturage de Le Poulvern;La Gare. 56690 Landaul;LANDAUL;56096;56690;Aire de covoiturage;-3.090235;47.733121
Parking Passille;Rue Michel et Jean Passille;LANDEAN;35142;35133;Parking;-1.153623;48.41211567
Aire de covoiturage Jean Monnet;ZA de Prat Pip. 175 rue Jean Monnet. 29800 Saint-Divy;LANDERNEAU;29103;29800;Aire de covoiturage;-4.269187605;48.44449453
Aire de covoiturage de Mané Craping;Prad er Houerh. 56690 LanDévant;LANDEVANT;56097;56690;Aire de covoiturage;-3.139936;47.759757
Aire de covoiturage Les Quatre Chemins;Les Quatre Chemins. 29560 LanDévennec;LANDEVENNEC;29104;29560;Aire de covoiturage;-4.333813993;48.26220635
Aire de covoiturage Kerivoal;Zone de Kerioual. D69. 29400 Landivisiau;LANDIVISIAU;29105;29400;Aire de covoiturage;-4.051675766;48.51538192
Aire de covoiturage de Géant;118 Rue Andrei Sakharov. 56600 Lanester;LANESTER;56098;56600;Aire de covoiturage;-3.343389;47.777579
La Guiguenière;Entree Sud accès par D27;LANGOUET;35146;35630;Aire de covoiturage;-1.82256251638921;48.2480027822452
Parking La Guigueniére;La Guigueniére;LANGOUET;35146;35630;Parking;-1.822396848;48.24783043
Aire de covoiturage Le Boutil;Giratoire du Boutil RD 767 - RD 786;LANNION;22113;22300;Aire de covoiturage;-3.430629822;48.72429683
Aire de covoiturage Pont Lé;Giratoire RD 6 - RD 9;LANVOLLON;22121;22290;Aire de covoiturage;-2.976688639;48.63465909
Les Landes de Canut;Les Landes de Canut;LASSY;35149;35580;Aire de covoiturage;-1.86796315620161;47.968165700495
Aire de covoiturage Quiella;Route de Rumengol. 29590 Le Faou;LE FAOU;29053;29590;Aire de covoiturage;-4.167873871;48.29862009
Place de La Mairie;Rue de Bretagne;LE FERRE;35111;35420;Parking;-1.293845397;48.49159599
Complexe Sportif Auguste Et Aimé Le Got;8 Route de Brest. 29260 Le Folgoét;LE FOLGOET;29055;29260;Parking;-4.33850186;48.55992862
Poteau de Kergentil;Le Poteau de Kergentil. 56190 Le Guerno;LE GUERNO;56077;56190;Aire de covoiturage;-2.404357;47.572911
Aire de covoiturage de Le Hezo;2 Rue er Vreneguy. 56450 Le Hézo;LE HEZO;56084;56450;Aire de covoiturage;-2.694201;47.581918
La Chonette;Rue des Mares;LE QUIOU;22263;22630;Aire de covoiturage;-2.00724548541814;48.3568876092191
Aire de covoiturage Kergleuz;4 Rue Robert Schuman. 29480 Le Relecq-Kerhuon;LE RELECQ-KERHUON;29235;29480;Aire de covoiturage;-4.407923978;48.39871002
Pont d'avoine;16 rue nationale;LE RHEU;35240;35650;Aire de covoiturage;-1.76556013063563;48.0959200374835
Parking La Sablonniére;Rue de la Sablonniére;LE THEIL-DE-BRETAGNE;35333;35240;Parking;-1.396523667;47.90948
Bourg neuf;Bourg neuf;LE THEIL-DE-BRETAGNE;35333;35240;Aire de covoiturage;-1.41908166743692;47.9196450810922
La Sablonnière;Proche de la D41 Rennes-Angers mais pas située directement sur l'échangeur. Sur la D47 entre le bourg de Retiers et l'échangeur.;LE THEIL-DE-BRETAGNE;35333;35240;Aire de covoiturage;-1.39652366715846;47.9094800829679
Place de L'Eglise;9 Lotissement Communal le Fougeri. 56370 Le Tour-du-Parc;LE TOUR-DU-PARC;56252;56370;Parking;-2.650718;47.523953
Villeneuve;VC face à la Zone de la Pilais;LÉCOUSSE;35150;35133;Aire de covoiturage;-1.23311744375032;48.3512940494858
Aire de covoiturage Ty Blaise;103 Ty Blaise. 29190 Lennon;LENNON;29123;29190;Aire de covoiturage;-3.902552406;48.20781075
Aire de covoiturage L'Escargot;RD 792 proche RN 176;LES MOULINS;22183;22210;Aire de covoiturage;-2.59100542;48.18776095
La croix de la mission;La croix de la mission;LIFFRÉ;35152;35340;Aire de covoiturage;-1.49582366618066;48.2198381691332
La Reposée;Rue de Rennes;LIFFRÉ;35152;35340;Aire de covoiturage;-1.52641333319941;48.2022667465807
La croix de la mission;La croix de la mission;LIFFRÉ;35152;35340;Aire de covoiturage;-1.49582366618066;48.2198381691332
La Reposée;Rue de Rennes;LIFFRÉ;35152;35340;Aire de covoiturage;-1.52641333319941;48.2022667465807
Aire de covoiturage de Sainte Catherine;213 Sainte-Catherine. 56460 Lizio;LIZIO;56112;56460;Aire de covoiturage;-2.4944;47.873391
Aire de covoiturage de Champ;33 Rue du Géneral De Gaulle. 56390 Grand-Champ;LOCMARIA-GRAND-CHAMP;56115;56390;Aire de covoiturage;-2.848733;47.760145
Aire de covoiturage de Collec;D767A. 56390 Locmaria-Grand-Champ;LOCMARIA-GRAND-CHAMP;56115;56390;Aire de covoiturage;-2.781111;47.757942
Parking Carrefour Market;20 Les Maisons du Verger. 56500 Locminé;LOCMINE;56117;56500;Supermarché;-2.828877;47.878301
Echangeur de Lohéac;rue de chateaubriant pres du sade;LOHÉAC;35155;35550;Aire de covoiturage;-1.88101412766708;47.8630869857101
Aire de covoiturage Kéranc'Hoat;24 Rue de la Gare. 29470 Loperhet;LOPERHET;29140;29470;Aire de covoiturage;-4.307951837;48.38286825
Aire de covoiturage Porhoet;RD 700 - RD 778;LOUDÉAC;22136;22600;Aire de covoiturage;-2.735771957;48.16846279
Aire de covoiturage La Fourchette;RD700-RN164-RD786;LOUDÉAC;22136;22600;Aire de covoiturage;-2.753325074;48.19725814
Place de Bretagne;Place de Bretagne;LOUVIGNÉ-DU-DÉSERT;35162;35420;Parking;-1.125030626;48.4813123
Place de La Mairie;Place de la Mairie;LOUVIGNÉ-DU-DÉSERT;35162;35420;Parking;-1.124522971;48.4801177
Place du 8 mai 45;Place du 8 mai 45;LOUVIGNÉ-DU-DÉSERT;35162;35420;Aire de covoiturage;-1.12147015171582;48.4800711301505
Aire de covoiturage de Loyat;D766. 56800 Loyat;LOYAT;56122;56800;Aire de covoiturage;-2.379918;47.975316
Echangeur 30 - ZA Saint-Eustache;D3155 - La Bassetais;MAEN ROCH;35257;35460;Aire de covoiturage;-1.31243028894358;48.3997816853209
Parking Super U;Parc d'Activités de la Chaussée. 56220 Malansac;MALANSAC;56123;56220;Supermarché;-2.300409;47.670036
Echangeur Sud;Avenue du Général de Gaulle;MARTIGNÉ-FERCHAUD;35167;35640;Aire de covoiturage;-1.32166233409256;47.8201144600246
Saint-Morand;Echangeur de Saint-Morand;MARTIGNÉ-FERCHAUD;35167;35640;Aire de covoiturage;-1.27719355160516;47.7995094491553
Aire de covoiturage Le Stade;RD13;MATIGNON;22143;22550;Aire de covoiturage;-2.296072962;48.59213544
Bellevue;Bellevue;MAURE-DE-BRETAGNE;35168;35330;Aire de covoiturage;-1.9911113350743;47.9085381690682
Aire de covoiturage de Voie Verte;La Grée Aga. 56430 Mauron;MAURON;56127;56430;Aire de covoiturage;-2.271058;48.079882
Maxent;;MAXENT;35169;35380;Aire de covoiturage;-2.03042301192006;47.9823578974396
Salle polyvalente;Rue de Montreuil;MELESSE;35173;35520;Aire de covoiturage;-1.69770433916455;48.2196439130764
Cimetière;Rue de Rennes;MELESSE;35173;35520;Aire de covoiturage;-1.69747500054249;48.213218163956
Aire de covoiturage Kerampaou (Kercorey);Aire de covoiturage de Kerampaou. Burleo. 29140 Melgven;MELGVEN;29146;29140;Aire de covoiturage;-3.800855592;47.88913267
Parking de la Rue Rouviel;6 Rue Rouviel;MELLE;35174;35420;Aire de covoiturage;-1.18793889504592;48.4884238023017
Parking de La Maison de Santé;17 Rue du Porhoét. 56490 Ménéac;MENEAC;56129;56490;Parking;-2.463628;48.137281
Aire de covoiturage Pen Ar Guéar;340 Rue Messire Jean Kerebel. 29290 Milizac;MILIZAC;29149;29290;Aire de covoiturage;-4.562064728;48.46307683
La Costardais;Parking de la gare;MINIAC-MORVAN;35179;35540;Aire de covoiturage;-1.91460933166711;48.5312607537301
Intermarché;3 Rue de Kerdiaoulig. 29350 Moélan-sur-Mer;MOËLAN-SUR-MER;29150;29350;Supermarché;-3.631399288;47.81168887
